x,u
0.00000000,0.06435604
0.02040816,0.05708177
0.04081633,0.05019643
0.06122449,0.04375438
0.08163265,0.03779702
0.10204082,0.03235216
0.12244898,0.02743400
0.14285714,0.02304378
0.16326531,0.01917092
0.18367347,0.01579469
0.20408163,0.01288602
0.22448980,0.01040961
0.24489796,0.00832593
0.26530612,0.00659318
0.28571429,0.00516901
0.30612245,0.00401203
0.32653061,0.00308292
0.34693878,0.00234534
0.36734694,0.00176645
0.38775510,0.00131723
0.40816327,0.00097253
0.42857143,0.00071096
0.44897959,0.00051465
0.46938776,0.00036892
0.48979592,0.00026189
0.51020408,0.00018413
0.53061224,0.00012823
0.55102041,0.00008845
0.57142857,0.00006045
0.59183673,0.00004092
0.61224490,0.00002745
0.63265306,0.00001825
0.65306122,0.00001202
0.67346939,0.00000785
0.69387755,0.00000508
0.71428571,0.00000326
0.73469388,0.00000207
0.75510204,0.00000131
0.77551020,0.00000082
0.79591837,0.00000051
0.81632653,0.00000031
0.83673469,0.00000019
0.85714286,0.00000012
0.87755102,0.00000007
0.89795918,0.00000004
0.91836735,0.00000002
0.93877551,0.00000001
0.95918367,0.00000001
0.97959184,0.00000000
1.00000000,0.00000000
