x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01783939
0.00000000,0.05128205,0.02200411
0.00000000,0.07692308,0.02444517
0.00000000,0.10256410,0.02593050
0.00000000,0.12820513,0.02684781
0.00000000,0.15384615,0.02741462
0.00000000,0.17948718,0.02776174
0.00000000,0.20512821,0.02797110
0.00000000,0.23076923,0.02809490
0.00000000,0.25641026,0.02816642
0.00000000,0.28205128,0.02820670
0.00000000,0.30769231,0.02822875
0.00000000,0.33333333,0.02824048
0.00000000,0.35897436,0.02824653
0.00000000,0.38461538,0.02824956
0.00000000,0.41025641,0.02825102
0.00000000,0.43589744,0.02825170
0.00000000,0.46153846,0.02825200
0.00000000,0.48717949,0.02825211
0.00000000,0.51282051,0.02825211
0.00000000,0.53846154,0.02825200
0.00000000,0.56410256,0.02825170
0.00000000,0.58974359,0.02825102
0.00000000,0.61538462,0.02824956
0.00000000,0.64102564,0.02824653
0.00000000,0.66666667,0.02824048
0.00000000,0.69230769,0.02822875
0.00000000,0.71794872,0.02820670
0.00000000,0.74358974,0.02816642
0.00000000,0.76923077,0.02809490
0.00000000,0.79487179,0.02797110
0.00000000,0.82051282,0.02776174
0.00000000,0.84615385,0.02741462
0.00000000,0.87179487,0.02684781
0.00000000,0.89743590,0.02593050
0.00000000,0.92307692,0.02444517
0.00000000,0.94871795,0.02200411
0.00000000,0.97435897,0.01783939
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00959308
0.02564103,0.05128205,0.01482568
0.02564103,0.07692308,0.01789265
0.02564103,0.10256410,0.01975883
0.02564103,0.12820513,0.02091136
0.02564103,0.15384615,0.02162349
0.02564103,0.17948718,0.02205962
0.02564103,0.20512821,0.02232267
0.02564103,0.23076923,0.02247821
0.02564103,0.25641026,0.02256807
0.02564103,0.28205128,0.02261867
0.02564103,0.30769231,0.02264638
0.02564103,0.33333333,0.02266112
0.02564103,0.35897436,0.02266872
0.02564103,0.38461538,0.02267252
0.02564103,0.41025641,0.02267436
0.02564103,0.43589744,0.02267521
0.02564103,0.46153846,0.02267559
0.02564103,0.48717949,0.02267573
0.02564103,0.51282051,0.02267573
0.02564103,0.53846154,0.02267559
0.02564103,0.56410256,0.02267521
0.02564103,0.58974359,0.02267436
0.02564103,0.61538462,0.02267252
0.02564103,0.64102564,0.02266872
0.02564103,0.66666667,0.02266112
0.02564103,0.69230769,0.02264638
0.02564103,0.71794872,0.02261867
0.02564103,0.74358974,0.02256807
0.02564103,0.76923077,0.02247821
0.02564103,0.79487179,0.02232267
0.02564103,0.82051282,0.02205962
0.02564103,0.84615385,0.02162349
0.02564103,0.87179487,0.02091136
0.02564103,0.89743590,0.01975883
0.02564103,0.92307692,0.01789265
0.02564103,0.94871795,0.01482568
0.02564103,0.97435897,0.00959308
0.02564103,1.00000000,0.00000000
0.05128205,0.00000000,0.00000000
0.05128205,0.02564103,0.00580654
0.05128205,0.05128205,0.01000752
0.05128205,0.07692308,0.01282357
0.05128205,0.10256410,0.01466144
0.05128205,0.12820513,0.01584230
0.05128205,0.15384615,0.01658968
0.05128205,0.17948718,0.01705454
0.05128205,0.20512821,0.01733789
0.05128205,0.23076923,0.01750668
0.05128205,0.25641026,0.01760472
0.05128205,0.28205128,0.01766015
0.05128205,0.30769231,0.01769060
0.05128205,0.33333333,0.01770684
0.05128205,0.35897436,0.01771522
0.05128205,0.38461538,0.01771942
0.05128205,0.41025641,0.01772145
0.05128205,0.43589744,0.01772240
0.05128205,0.46153846,0.01772281
0.05128205,0.48717949,0.01772297
0.05128205,0.51282051,0.01772297
0.05128205,0.53846154,0.01772281
0.05128205,0.56410256,0.01772240
0.05128205,0.58974359,0.01772145
0.05128205,0.61538462,0.01771942
0.05128205,0.64102564,0.01771522
0.05128205,0.66666667,0.01770684
0.05128205,0.69230769,0.01769060
0.05128205,0.71794872,0.01766015
0.05128205,0.74358974,0.01760472
0.05128205,0.76923077,0.01750668
0.05128205,0.79487179,0.01733789
0.05128205,0.82051282,0.01705454
0.05128205,0.84615385,0.01658968
0.05128205,0.87179487,0.01584230
0.05128205,0.89743590,0.01466144
0.05128205,0.92307692,0.01282357
0.05128205,0.94871795,0.01000752
0.05128205,0.97435897,0.00580654
0.05128205,1.00000000,0.00000000
0.07692308,0.00000000,0.00000000
0.07692308,0.02564103,0.00373729
0.07692308,0.05128205,0.00679332
0.07692308,0.07692308,0.00905072
0.07692308,0.10256410,0.01062684
0.07692308,0.12820513,0.01168721
0.07692308,0.15384615,0.01237993
0.07692308,0.17948718,0.01282050
0.07692308,0.20512821,0.01309337
0.07692308,0.23076923,0.01325784
0.07692308,0.25641026,0.01335422
0.07692308,0.28205128,0.01340907
0.07692308,0.30769231,0.01343935
0.07692308,0.33333333,0.01345556
0.07692308,0.35897436,0.01346396
0.07692308,0.38461538,0.01346817
0.07692308,0.41025641,0.01347021
0.07692308,0.43589744,0.01347116
0.07692308,0.46153846,0.01347158
0.07692308,0.48717949,0.01347174
0.07692308,0.51282051,0.01347174
0.07692308,0.53846154,0.01347158
0.07692308,0.56410256,0.01347116
0.07692308,0.58974359,0.01347021
0.07692308,0.61538462,0.01346817
0.07692308,0.64102564,0.01346396
0.07692308,0.66666667,0.01345556
0.07692308,0.69230769,0.01343935
0.07692308,0.71794872,0.01340907
0.07692308,0.74358974,0.01335422
0.07692308,0.76923077,0.01325784
0.07692308,0.79487179,0.01309337
0.07692308,0.82051282,0.01282050
0.07692308,0.84615385,0.01237993
0.07692308,0.87179487,0.01168721
0.07692308,0.89743590,0.01062684
0.07692308,0.92307692,0.00905072
0.07692308,0.94871795,0.00679332
0.07692308,0.97435897,0.00373729
0.07692308,1.00000000,0.00000000
0.10256410,0.00000000,0.00000000
0.10256410,0.02564103,0.00246519
0.10256410,0.05128205,0.00460493
0.10256410,0.07692308,0.00628899
0.10256410,0.10256410,0.00752880
0.10256410,0.12820513,0.00839800
0.10256410,0.15384615,0.00898387
0.10256410,0.17948718,0.00936540
0.10256410,0.20512821,0.00960597
0.10256410,0.23076923,0.00975297
0.10256410,0.25641026,0.00984002
0.10256410,0.28205128,0.00988997
0.10256410,0.30769231,0.00991772
0.10256410,0.33333333,0.00993265
0.10256410,0.35897436,0.00994041
0.10256410,0.38461538,0.00994432
0.10256410,0.41025641,0.00994621
0.10256410,0.43589744,0.00994710
0.10256410,0.46153846,0.00994749
0.10256410,0.48717949,0.00994764
0.10256410,0.51282051,0.00994764
0.10256410,0.53846154,0.00994749
0.10256410,0.56410256,0.00994710
0.10256410,0.58974359,0.00994621
0.10256410,0.61538462,0.00994432
0.10256410,0.64102564,0.00994041
0.10256410,0.66666667,0.00993265
0.10256410,0.69230769,0.00991772
0.10256410,0.71794872,0.00988997
0.10256410,0.74358974,0.00984002
0.10256410,0.76923077,0.00975297
0.10256410,0.79487179,0.00960597
0.10256410,0.82051282,0.00936540
0.10256410,0.84615385,0.00898387
0.10256410,0.87179487,0.00839800
0.10256410,0.89743590,0.00752880
0.10256410,0.92307692,0.00628899
0.10256410,0.94871795,0.00460493
0.10256410,0.97435897,0.00246519
0.10256410,1.00000000,0.00000000
0.12820513,0.00000000,0.00000000
0.12820513,0.02564103,0.00163089
0.12820513,0.05128205,0.00309253
0.12820513,0.07692308,0.00429136
0.12820513,0.10256410,0.00520940
0.12820513,0.12820513,0.00587517
0.12820513,0.15384615,0.00633653
0.12820513,0.17948718,0.00664374
0.12820513,0.20512821,0.00684091
0.12820513,0.23076923,0.00696308
0.12820513,0.25641026,0.00703625
0.12820513,0.28205128,0.00707859
0.12820513,0.30769231,0.00710229
0.12820513,0.33333333,0.00711510
0.12820513,0.35897436,0.00712179
0.12820513,0.38461538,0.00712517
0.12820513,0.41025641,0.00712682
0.12820513,0.43589744,0.00712759
0.12820513,0.46153846,0.00712793
0.12820513,0.48717949,0.00712805
0.12820513,0.51282051,0.00712805
0.12820513,0.53846154,0.00712793
0.12820513,0.56410256,0.00712759
0.12820513,0.58974359,0.00712682
0.12820513,0.61538462,0.00712517
0.12820513,0.64102564,0.00712179
0.12820513,0.66666667,0.00711510
0.12820513,0.69230769,0.00710229
0.12820513,0.71794872,0.00707859
0.12820513,0.74358974,0.00703625
0.12820513,0.76923077,0.00696308
0.12820513,0.79487179,0.00684091
0.12820513,0.82051282,0.00664374
0.12820513,0.84615385,0.00633653
0.12820513,0.87179487,0.00587517
0.12820513,0.89743590,0.00520940
0.12820513,0.92307692,0.00429136
0.12820513,0.94871795,0.00309253
0.12820513,0.97435897,0.00163089
0.12820513,1.00000000,0.00000000
0.15384615,0.00000000,0.00000000
0.15384615,0.02564103,0.00106858
0.15384615,0.05128205,0.00204434
0.15384615,0.07692308,0.00286690
0.15384615,0.10256410,0.00351526
0.15384615,0.12820513,0.00399823
0.15384615,0.15384615,0.00434084
0.15384615,0.17948718,0.00457352
0.15384615,0.20512821,0.00472531
0.15384615,0.23076923,0.00482063
0.15384615,0.25641026,0.00487834
0.15384615,0.28205128,0.00491203
