x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01606787
0.00000000,0.05128205,0.01861355
0.00000000,0.07692308,0.01969768
0.00000000,0.10256410,0.02013323
0.00000000,0.12820513,0.02029405
0.00000000,0.15384615,0.02034767
0.00000000,0.17948718,0.02036363
0.00000000,0.20512821,0.02036783
0.00000000,0.23076923,0.02036880
0.00000000,0.25641026,0.02036899
0.00000000,0.28205128,0.02036903
0.00000000,0.30769231,0.02036903
0.00000000,0.33333333,0.02036903
0.00000000,0.35897436,0.02036903
0.00000000,0.38461538,0.02036903
0.00000000,0.41025641,0.02036903
0.00000000,0.43589744,0.02036903
0.00000000,0.46153846,0.02036903
0.00000000,0.48717949,0.02036903
0.00000000,0.51282051,0.02036903
0.00000000,0.53846154,0.02036903
0.00000000,0.56410256,0.02036903
0.00000000,0.58974359,0.02036903
0.00000000,0.61538462,0.02036903
0.00000000,0.64102564,0.02036903
0.00000000,0.66666667,0.02036903
0.00000000,0.69230769,0.02036903
0.00000000,0.71794872,0.02036903
0.00000000,0.74358974,0.02036899
0.00000000,0.76923077,0.02036880
0.00000000,0.79487179,0.02036783
0.00000000,0.82051282,0.02036363
0.00000000,0.84615385,0.02034767
0.00000000,0.87179487,0.02029405
0.00000000,0.89743590,0.02013323
0.00000000,0.92307692,0.01969768
0.00000000,0.94871795,0.01861355
0.00000000,0.97435897,0.01606787
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00736732
0.02564103,0.05128205,0.01056575
0.02564103,0.07692308,0.01192786
0.02564103,0.10256410,0.01247509
0.02564103,0.12820513,0.01267713
0.02564103,0.15384615,0.01274451
0.02564103,0.17948718,0.01276456
0.02564103,0.20512821,0.01276984
0.02564103,0.23076923,0.01277106
0.02564103,0.25641026,0.01277130
0.02564103,0.28205128,0.01277134
0.02564103,0.30769231,0.01277135
0.02564103,0.33333333,0.01277135
0.02564103,0.35897436,0.01277135
0.02564103,0.38461538,0.01277135
0.02564103,0.41025641,0.01277135
0.02564103,0.43589744,0.01277135
0.02564103,0.46153846,0.01277135
0.02564103,0.48717949,0.01277135
0.02564103,0.51282051,0.01277135
0.02564103,0.53846154,0.01277135
0.02564103,0.56410256,0.01277135
0.02564103,0.58974359,0.01277135
0.02564103,0.61538462,0.01277135
