x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01705739
0.00000000,0.05128205,0.02048487
0.00000000,0.07692308,0.02227039
0.00000000,0.10256410,0.02320550
0.00000000,0.12820513,0.02368638
0.00000000,0.15384615,0.02392550
0.00000000,0.17948718,0.02403929
0.00000000,0.20512821,0.02409076
0.00000000,0.23076923,0.02411277
0.00000000,0.25641026,0.02412163
0.00000000,0.28205128,0.02412498
0.00000000,0.30769231,0.02412617
0.00000000,0.33333333,0.02412656
0.00000000,0.35897436,0.02412669
0.00000000,0.38461538,0.02412672
0.00000000,0.41025641,0.02412673
0.00000000,0.43589744,0.02412673
0.00000000,0.46153846,0.02412673
0.00000000,0.48717949,0.02412673
0.00000000,0.51282051,0.02412673
0.00000000,0.53846154,0.02412673
0.00000000,0.56410256,0.02412673
0.00000000,0.58974359,0.02412673
0.00000000,0.61538462,0.02412672
0.00000000,0.64102564,0.02412669
0.00000000,0.66666667,0.02412656
0.00000000,0.69230769,0.02412617
0.00000000,0.71794872,0.02412498
0.00000000,0.74358974,0.02412163
0.00000000,0.76923077,0.02411277
0.00000000,0.79487179,0.02409076
0.00000000,0.82051282,0.02403929
0.00000000,0.84615385,0.02392550
0.00000000,0.87179487,0.02368638
0.00000000,0.89743590,0.02320550
0.00000000,0.92307692,0.02227039
0.00000000,0.94871795,0.02048487
0.00000000,0.97435897,0.01705739
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00861057
0.02564103,0.05128205,0.01291689
0.02564103,0.07692308,0.01516023
0.02564103,0.10256410,0.01633512
0.02564103,0.12820513,0.01693930
0.02564103,0.15384615,0.01723973
0.02564103,0.17948718,0.01738270
0.02564103,0.20512821,0.01744736
0.02564103,0.23076923,0.01747501
0.02564103,0.25641026,0.01748615
0.02564103,0.28205128,0.01749036
0.02564103,0.30769231,0.01749186
0.02564103,0.33333333,0.01749235
0.02564103,0.35897436,0.01749250
0.02564103,0.38461538,0.01749255
0.02564103,0.41025641,0.01749256
0.02564103,0.43589744,0.01749256
0.02564103,0.46153846,0.01749256
0.02564103,0.48717949,0.01749256
0.02564103,0.51282051,0.01749256
0.02564103,0.53846154,0.01749256
0.02564103,0.56410256,0.01749256
0.02564103,0.58974359,0.01749256
0.02564103,0.61538462,0.01749255
0.02564103,0.64102564,0.01749250
0.02564103,0.66666667,0.01749235
0.02564103,0.69230769,0.01749186
0.02564103,0.71794872,0.01749036
0.02564103,0.74358974,0.01748615
0.02564103,0.76923077,0.01747501
0.02564103,0.79487179,0.01744736
0.02564103,0.82051282,0.01738270
0.02564103,0.84615385,0.01723973
0.02564103,0.87179487,0.01693930
0.02564103,0.89743590,0.01633512
0.02564103,0.92307692,0.01516023
0.02564103,0.94871795,0.01291689
