x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01804471
0.00000000,0.05128205,0.02240741
0.00000000,0.07692308,0.02503254
0.00000000,0.10256410,0.02668291
0.00000000,0.12820513,0.02774292
0.00000000,0.15384615,0.02842871
0.00000000,0.17948718,0.02887154
0.00000000,0.20512821,0.02915516
0.00000000,0.23076923,0.02933454
0.00000000,0.25641026,0.02944621
0.00000000,0.28205128,0.02951448
0.00000000,0.30769231,0.02955536
0.00000000,0.33333333,0.02957933
0.00000000,0.35897436,0.02959305
0.00000000,0.38461538,0.02960072
0.00000000,0.41025641,0.02960490
0.00000000,0.43589744,0.02960709
0.00000000,0.46153846,0.02960818
0.00000000,0.48717949,0.02960863
0.00000000,0.51282051,0.02960863
0.00000000,0.53846154,0.02960818
0.00000000,0.56410256,0.02960709
0.00000000,0.58974359,0.02960490
0.00000000,0.61538462,0.02960072
0.00000000,0.64102564,0.02959305
0.00000000,0.66666667,0.02957933
0.00000000,0.69230769,0.02955536
0.00000000,0.71794872,0.02951448
0.00000000,0.74358974,0.02944621
0.00000000,0.76923077,0.02933454
0.00000000,0.79487179,0.02915516
0.00000000,0.82051282,0.02887154
0.00000000,0.84615385,0.02842871
0.00000000,0.87179487,0.02774292
0.00000000,0.89743590,0.02668291
0.00000000,0.92307692,0.02503254
0.00000000,0.94871795,0.02240741
0.00000000,0.97435897,0.01804471
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00985105
0.02564103,0.05128205,0.01533238
0.02564103,0.07692308,0.01863063
0.02564103,0.10256410,0.02070416
0.02564103,0.12820513,0.02203597
0.02564103,0.15384615,0.02289761
0.02564103,0.17948718,0.02345399
0.02564103,0.20512821,0.02381033
0.02564103,0.23076923,0.02403571
0.02564103,0.25641026,0.02417601
0.02564103,0.28205128,0.02426178
0.02564103,0.30769231,0.02431315
0.02564103,0.33333333,0.02434326
0.02564103,0.35897436,0.02436050
0.02564103,0.38461538,0.02437014
0.02564103,0.41025641,0.02437538
0.02564103,0.43589744,0.02437814
0.02564103,0.46153846,0.02437951
0.02564103,0.48717949,0.02438007
0.02564103,0.51282051,0.02438007
0.02564103,0.53846154,0.02437951
0.02564103,0.56410256,0.02437814
0.02564103,0.58974359,0.02437538
0.02564103,0.61538462,0.02437014
0.02564103,0.64102564,0.02436050
0.02564103,0.66666667,0.02434326
0.02564103,0.69230769,0.02431315
0.02564103,0.71794872,0.02426178
0.02564103,0.74358974,0.02417601
0.02564103,0.76923077,0.02403571
0.02564103,0.79487179,0.02381033
0.02564103,0.82051282,0.02345399
0.02564103,0.84615385,0.02289761
0.02564103,0.87179487,0.02203597
0.02564103,0.89743590,0.02070416
