x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01770577
0.00000000,0.05128205,0.02174252
0.00000000,0.07692308,0.02406624
0.00000000,0.10256410,0.02544852
0.00000000,0.12820513,0.02627917
0.00000000,0.15384615,0.02677616
0.00000000,0.17948718,0.02706942
0.00000000,0.20512821,0.02723897
0.00000000,0.23076923,0.02733458
0.00000000,0.25641026,0.02738698
0.00000000,0.28205128,0.02741483
0.00000000,0.30769231,0.02742914
0.00000000,0.33333333,0.02743625
0.00000000,0.35897436,0.02743965
0.00000000,0.38461538,0.02744122
0.00000000,0.41025641,0.02744192
0.00000000,0.43589744,0.02744222
0.00000000,0.46153846,0.02744234
0.00000000,0.48717949,0.02744238
0.00000000,0.51282051,0.02744238
0.00000000,0.53846154,0.02744234
0.00000000,0.56410256,0.02744222
0.00000000,0.58974359,0.02744192
0.00000000,0.61538462,0.02744122
0.00000000,0.64102564,0.02743965
0.00000000,0.66666667,0.02743625
0.00000000,0.69230769,0.02742914
0.00000000,0.71794872,0.02741483
0.00000000,0.74358974,0.02738698
0.00000000,0.76923077,0.02733458
0.00000000,0.79487179,0.02723897
0.00000000,0.82051282,0.02706942
0.00000000,0.84615385,0.02677616
0.00000000,0.87179487,0.02627917
0.00000000,0.89743590,0.02544852
0.00000000,0.92307692,0.02406624
0.00000000,0.94871795,0.02174252
0.00000000,0.97435897,0.01770577
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00942519
0.02564103,0.05128205,0.01449702
0.02564103,0.07692308,0.01741656
0.02564103,0.10256410,0.01915327
0.02564103,0.12820513,0.02019690
0.02564103,0.15384615,0.02082132
0.02564103,0.17948718,0.02118978
0.02564103,0.20512821,0.02140281
0.02564103,0.23076923,0.02152294
0.02564103,0.25641026,0.02158877
0.02564103,0.28205128,0.02162376
0.02564103,0.30769231,0.02164174
0.02564103,0.33333333,0.02165067
0.02564103,0.35897436,0.02165494
0.02564103,0.38461538,0.02165692
0.02564103,0.41025641,0.02165779
0.02564103,0.43589744,0.02165817
0.02564103,0.46153846,0.02165832
0.02564103,0.48717949,0.02165837
0.02564103,0.51282051,0.02165837
0.02564103,0.53846154,0.02165832
0.02564103,0.56410256,0.02165817
0.02564103,0.58974359,0.02165779
0.02564103,0.61538462,0.02165692
0.02564103,0.64102564,0.02165494
0.02564103,0.66666667,0.02165067
0.02564103,0.69230769,0.02164174
0.02564103,0.71794872,0.02162376
0.02564103,0.74358974,0.02158877
0.02564103,0.76923077,0.02152294
0.02564103,0.79487179,0.02140281
0.02564103,0.82051282,0.02118978
0.02564103,0.84615385,0.02082132
0.02564103,0.87179487,0.02019690
0.02564103,0.89743590,0.01915327
0.02564103,0.92307692,0.01741656
0.02564103,0.94871795,0.01449702
0.02564103,0.97435897,0.00942519
0.02564103,1.00000000,0.00000000
0.05128205,0.00000000,0.00000000
0.05128205,0.02564103,0.00561843
0.05128205,0.05128205,0.00963927
0.05128205,0.07692308,0.01229015
0.05128205,0.10256410,0.01398298
0.05128205,0.12820513,0.01504187
0.05128205,0.15384615,0.01569102
0.05128205,0.17948718,0.01608011
0.05128205,0.20512821,0.01630746
0.05128205,0.23076923,0.01643661
0.05128205,0.25641026,0.01650778
0.05128205,0.28205128,0.01654574
0.05128205,0.30769231,0.01656532
0.05128205,0.33333333,0.01657505
0.05128205,0.35897436,0.01657973
0.05128205,0.38461538,0.01658188
0.05128205,0.41025641,0.01658284
0.05128205,0.43589744,0.01658325
0.05128205,0.46153846,0.01658342
0.05128205,0.48717949,0.01658348
0.05128205,0.51282051,0.01658348
0.05128205,0.53846154,0.01658342
0.05128205,0.56410256,0.01658325
0.05128205,0.58974359,0.01658284
0.05128205,0.61538462,0.01658188
0.05128205,0.64102564,0.01657973
0.05128205,0.66666667,0.01657505
0.05128205,0.69230769,0.01656532
0.05128205,0.71794872,0.01654574
0.05128205,0.74358974,0.01650778
0.05128205,0.76923077,0.01643661
0.05128205,0.79487179,0.01630746
0.05128205,0.82051282,0.01608011
0.05128205,0.84615385,0.01569102
0.05128205,0.87179487,0.01504187
0.05128205,0.89743590,0.01398298
0.05128205,0.92307692,0.01229015
0.05128205,0.94871795,0.00963927
0.05128205,0.97435897,0.00561843
0.05128205,1.00000000,0.00000000
0.07692308,0.00000000,0.00000000
0.07692308,0.02564103,0.00354371
0.07692308,0.05128205,0.00641439
0.07692308,0.07692308,0.00850184
0.07692308,0.10256410,0.00992875
0.07692308,0.12820513,0.01086368
0.07692308,0.15384615,0.01145540
0.07692308,0.17948718,0.01181809
0.07692308,0.20512821,0.01203342
0.07692308,0.23076923,0.01215719
0.07692308,0.25641026,0.01222598
0.07692308,0.28205128,0.01226290
0.07692308,0.30769231,0.01228204
0.07692308,0.33333333,0.01229159
0.07692308,0.35897436,0.01229618
0.07692308,0.38461538,0.01229831
0.07692308,0.41025641,0.01229926
0.07692308,0.43589744,0.01229966
0.07692308,0.46153846,0.01229983
0.07692308,0.48717949,0.01229988
0.07692308,0.51282051,0.01229988
0.07692308,0.53846154,0.01229983
0.07692308,0.56410256,0.01229966
0.07692308,0.58974359,0.01229926
0.07692308,0.61538462,0.01229831
0.07692308,0.64102564,0.01229618
0.07692308,0.66666667,0.01229159
0.07692308,0.69230769,0.01228204
0.07692308,0.71794872,0.01226290
0.07692308,0.74358974,0.01222598
0.07692308,0.76923077,0.01215719
0.07692308,0.79487179,0.01203342
0.07692308,0.82051282,0.01181809
0.07692308,0.84615385,0.01145540
0.07692308,0.87179487,0.01086368
0.07692308,0.89743590,0.00992875
0.07692308,0.92307692,0.00850184
0.07692308,0.94871795,0.00641439
0.07692308,0.97435897,0.00354371
0.07692308,1.00000000,0.00000000
0.10256410,0.00000000,0.00000000
0.10256410,0.02564103,0.00227951
0.10256410,0.05128205,0.00424148
0.10256410,0.07692308,0.00576257
0.10256410,0.10256410,0.00685933
0.10256410,0.12820513,0.00760830
0.10256410,0.15384615,0.00809741
0.10256410,0.17948718,0.00840435
0.10256410,0.20512821,0.00858986
0.10256410,0.23076923,0.00869793
