x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01795055
0.00000000,0.05128205,0.02222225
0.00000000,0.07692308,0.02476242
0.00000000,0.10256410,0.02633611
0.00000000,0.12820513,0.02732926
0.00000000,0.15384615,0.02795871
0.00000000,0.17948718,0.02835565
0.00000000,0.20512821,0.02860314
0.00000000,0.23076923,0.02875505
0.00000000,0.25641026,0.02884651
0.00000000,0.28205128,0.02890041
0.00000000,0.30769231,0.02893143
0.00000000,0.33333333,0.02894884
0.00000000,0.35897436,0.02895836
0.00000000,0.38461538,0.02896342
0.00000000,0.41025641,0.02896603
0.00000000,0.43589744,0.02896733
0.00000000,0.46153846,0.02896795
0.00000000,0.48717949,0.02896819
0.00000000,0.51282051,0.02896819
0.00000000,0.53846154,0.02896795
0.00000000,0.56410256,0.02896733
0.00000000,0.58974359,0.02896603
0.00000000,0.61538462,0.02896342
0.00000000,0.64102564,0.02895836
0.00000000,0.66666667,0.02894884
0.00000000,0.69230769,0.02893143
0.00000000,0.71794872,0.02890041
0.00000000,0.74358974,0.02884651
0.00000000,0.76923077,0.02875505
0.00000000,0.79487179,0.02860314
0.00000000,0.82051282,0.02835565
0.00000000,0.84615385,0.02795871
0.00000000,0.87179487,0.02732926
0.00000000,0.89743590,0.02633611
0.00000000,0.92307692,0.02476242
0.00000000,0.94871795,0.02222225
0.00000000,0.97435897,0.01795055
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00973274
0.02564103,0.05128205,0.01509975
0.02564103,0.07692308,0.01829124
0.02564103,0.10256410,0.02026844
0.02564103,0.12820513,0.02151625
0.02564103,0.15384615,0.02230709
0.02564103,0.17948718,0.02280581
0.02564103,0.20512821,0.02311677
0.02564103,0.23076923,0.02330762
0.02564103,0.25641026,0.02342254
0.02564103,0.28205128,0.02349026
0.02564103,0.30769231,0.02352924
0.02564103,0.33333333,0.02355111
0.02564103,0.35897436,0.02356307
0.02564103,0.38461538,0.02356942
0.02564103,0.41025641,0.02357271
0.02564103,0.43589744,0.02357434
0.02564103,0.46153846,0.02357512
0.02564103,0.48717949,0.02357542
0.02564103,0.51282051,0.02357542
0.02564103,0.53846154,0.02357512
0.02564103,0.56410256,0.02357434
0.02564103,0.58974359,0.02357271
0.02564103,0.61538462,0.02356942
0.02564103,0.64102564,0.02356307
0.02564103,0.66666667,0.02355111
0.02564103,0.69230769,0.02352924
0.02564103,0.71794872,0.02349026
0.02564103,0.74358974,0.02342254
0.02564103,0.76923077,0.02330762
0.02564103,0.79487179,0.02311677
0.02564103,0.82051282,0.02280581
0.02564103,0.84615385,0.02230709
0.02564103,0.87179487,0.02151625
0.02564103,0.89743590,0.02026844
0.02564103,0.92307692,0.01829124
