x,y,u
0.00000000,0.00000000,0.00000000
0.00000000,0.02564103,0.01754138
0.00000000,0.05128205,0.02142176
0.00000000,0.07692308,0.02360396
0.00000000,0.10256410,0.02486440
0.00000000,0.12820513,0.02559524
0.00000000,0.15384615,0.02601444
0.00000000,0.17948718,0.02625000
0.00000000,0.20512821,0.02637881
0.00000000,0.23076923,0.02644704
0.00000000,0.25641026,0.02648193
0.00000000,0.28205128,0.02649909
0.00000000,0.30769231,0.02650721
0.00000000,0.33333333,0.02651089
0.00000000,0.35897436,0.02651248
0.00000000,0.38461538,0.02651315
0.00000000,0.41025641,0.02651341
0.00000000,0.43589744,0.02651351
0.00000000,0.46153846,0.02651355
0.00000000,0.48717949,0.02651356
0.00000000,0.51282051,0.02651356
0.00000000,0.53846154,0.02651355
0.00000000,0.56410256,0.02651351
0.00000000,0.58974359,0.02651341
0.00000000,0.61538462,0.02651315
0.00000000,0.64102564,0.02651248
0.00000000,0.66666667,0.02651089
0.00000000,0.69230769,0.02650721
0.00000000,0.71794872,0.02649909
0.00000000,0.74358974,0.02648193
0.00000000,0.76923077,0.02644704
0.00000000,0.79487179,0.02637881
0.00000000,0.82051282,0.02625000
0.00000000,0.84615385,0.02601444
0.00000000,0.87179487,0.02559524
0.00000000,0.89743590,0.02486440
0.00000000,0.92307692,0.02360396
0.00000000,0.94871795,0.02142176
0.00000000,0.97435897,0.01754138
0.00000000,1.00000000,0.00000000
0.02564103,0.00000000,0.00000000
0.02564103,0.02564103,0.00921866
0.02564103,0.05128205,0.01409401
0.02564103,0.07692308,0.01683575
0.02564103,0.10256410,0.01841937
0.02564103,0.12820513,0.01933761
0.02564103,0.15384615,0.01986429
0.02564103,0.17948718,0.02016025
0.02564103,0.20512821,0.02032210
0.02564103,0.23076923,0.02040782
0.02564103,0.25641026,0.02045165
0.02564103,0.28205128,0.02047322
0.02564103,0.30769231,0.02048342
0.02564103,0.33333333,0.02048804
0.02564103,0.35897436,0.02049004
0.02564103,0.38461538,0.02049088
0.02564103,0.41025641,0.02049121
0.02564103,0.43589744,0.02049133
0.02564103,0.46153846,0.02049138
0.02564103,0.48717949,0.02049139
0.02564103,0.51282051,0.02049139
0.02564103,0.53846154,0.02049138
0.02564103,0.56410256,0.02049133
0.02564103,0.58974359,0.02049121
0.02564103,0.61538462,0.02049088
0.02564103,0.64102564,0.02049004
0.02564103,0.66666667,0.02048804
0.02564103,0.69230769,0.02048342
0.02564103,0.71794872,0.02047322
0.02564103,0.74358974,0.02045165
0.02564103,0.76923077,0.02040782
0.02564103,0.79487179,0.02032210
0.02564103,0.82051282,0.02016025
0.02564103,0.84615385,0.01986429
0.02564103,0.87179487,0.01933761
0.02564103,0.89743590,0.01841937
0.02564103,0.92307692,0.01683575
0.02564103,0.94871795,0.01409401
0.02564103,0.97435897,0.00921866
0.02564103,1.00000000,0.00000000
0.05128205,0.00000000,0.00000000
0.05128205,0.02564103,0.00538915
0.05128205,0.05128205,0.00919188
0.05128205,0.07692308,0.01164540
0.05128205,0.10256410,0.01316833
0.05128205,0.12820513,0.01408808
0.05128205,0.15384615,0.01462880
0.05128205,0.17948718,0.01493748
0.05128205,0.20512821,0.01510809
0.05128205,0.23076923,0.01519912
0.05128205,0.25641026,0.01524590
0.05128205,0.28205128,0.01526901
