y,u
0.26626627,0.03760547
0.26726727,0.03771204
0.26826827,0.03781823
0.26926927,0.03792404
0.27027027,0.03802949
0.27127127,0.03813455
0.27227227,0.03823924
0.27327327,0.03834356
0.27427427,0.03844749
0.27527528,0.03855104
0.27627628,0.03865421
0.27727728,0.03875700
0.27827828,0.03885940
0.27927928,0.03896142
0.28028028,0.03906306
0.28128128,0.03916431
0.28228228,0.03926517
0.28328328,0.03936564
0.28428428,0.03946573
0.28528529,0.03956542
0.28628629,0.03966473
0.28728729,0.03976364
0.28828829,0.03986215
0.28928929,0.03996028
0.29029029,0.04005800
0.29129129,0.04015534
0.29229229,0.04025227
0.29329329,0.04034881
0.29429429,0.04044494
0.29529530,0.04054068
0.29629630,0.04063602
0.29729730,0.04073095
0.29829830,0.04082549
0.29929930,0.04091961
0.30030030,0.04101334
0.30130130,0.04110666
0.30230230,0.04119957
0.30330330,0.04129207
0.30430430,0.04138417
0.30530531,0.04147585
0.30630631,0.04156713
0.30730731,0.04165799
0.30830831,0.04174845
0.30930931,0.04183849
0.31031031,0.04192811
0.31131131,0.04201733
0.31231231,0.04210612
0.31331331,0.04219450
0.31431431,0.04228246
0.31531532,0.04237001
0.31631632,0.04245714
0.31731732,0.04254384
0.31831832,0.04263013
0.31931932,0.04271599
0.32032032,0.04280143
0.32132132,0.04288645
0.32232232,0.04297104
0.32332332,0.04305521
0.32432432,0.04313895
0.32532533,0.04322227
0.32632633,0.04330516
0.32732733,0.04338762
0.32832833,0.04346965
0.32932933,0.04355125
0.33033033,0.04363242
0.33133133,0.04371316
0.33233233,0.04379347
0.33333333,0.04387334
0.33433433,0.04395278
0.33533534,0.04403179
0.33633634,0.04411036
0.33733734,0.04418849
0.33833834,0.04426619
0.33933934,0.04434345
0.34034034,0.04442027
0.34134134,0.04449665
0.34234234,0.04457259
0.34334334,0.04464809
0.34434434,0.04472315
0.34534535,0.04479776
0.34634635,0.04487194
0.34734735,0.04494567
0.34834835,0.04501895
0.34934935,0.04509179
0.35035035,0.04516419
0.35135135,0.04523613
0.35235235,0.04530763
0.35335335,0.04537869
0.35435435,0.04544929
0.35535536,0.04551944
0.35635636,0.04558915
0.35735736,0.04565840
0.35835836,0.04572720
0.35935936,0.04579555
0.36036036,0.04586345
0.36136136,0.04593089
0.36236236,0.04599788
0.36336336,0.04606441
0.36436436,0.04613049
0.36536537,0.04619611
0.36636637,0.04626127
0.36736737,0.04632598
0.36836837,0.04639023
0.36936937,0.04645402
0.37037037,0.04651735
0.37137137,0.04658022
0.37237237,0.04664263
0.37337337,0.04670458
0.37437437,0.04676607
0.37537538,0.04682709
0.37637638,0.04688766
0.37737738,0.04694775
0.37837838,0.04700739
0.37937938,0.04706656
0.38038038,0.04712526
0.38138138,0.04718350
0.38238238,0.04724127
0.38338338,0.04729857
0.38438438,0.04735541
0.38538539,0.04741177
0.38638639,0.04746767
0.38738739,0.04752310
0.38838839,0.04757806
0.38938939,0.04763255
0.39039039,0.04768657
0.39139139,0.04774011
0.39239239,0.04779319
0.39339339,0.04784579
0.39439439,0.04789792
0.39539540,0.04794957
0.39639640,0.04800075
0.39739740,0.04805146
0.39839840,0.04810169
0.39939940,0.04815144
0.40040040,0.04820072
0.40140140,0.04824952
0.40240240,0.04829785
0.40340340,0.04834569
0.40440440,0.04839306
0.40540541,0.04843995
0.40640641,0.04848636
0.40740741,0.04853230
0.40840841,0.04857775
0.40940941,0.04862272
0.41041041,0.04866721
0.41141141,0.04871122
0.41241241,0.04875475
0.41341341,0.04879779
0.41441441,0.04884035
0.41541542,0.04888243
0.41641642,0.04892403
0.41741742,0.04896514
0.41841842,0.04900577
0.41941942,0.04904591
0.42042042,0.04908557
0.42142142,0.04912475
0.42242242,0.04916343
0.42342342,0.04920164
0.42442442,0.04923935
0.42542543,0.04927658
0.42642643,0.04931332
0.42742743,0.04934957
0.42842843,0.04938534
0.42942943,0.04942061
0.43043043,0.04945540
0.43143143,0.04948970
0.43243243,0.04952351
0.43343343,0.04955683
0.43443443,0.04958965
0.43543544,0.04962199
0.43643644,0.04965384
0.43743744,0.04968520
0.43843844,0.04971606
0.43943944,0.04974644
0.44044044,0.04977632
0.44144144,0.04980571
0.44244244,0.04983461
0.44344344,0.04986301
0.44444444,0.04989092
0.44544545,0.04991834
0.44644645,0.04994527
0.44744745,0.04997170
0.44844845,0.04999763
0.44944945,0.05002307
0.45045045,0.05004802
0.45145145,0.05007247
0.45245245,0.05009643
0.45345345,0.05011989
0.45445445,0.05014286
0.45545546,0.05016533
0.45645646,0.05018730
0.45745746,0.05020878
0.45845846,0.05022976
0.45945946,0.05025024
0.46046046,0.05027023
0.46146146,0.05028972
0.46246246,0.05030871
0.46346346,0.05032721
0.46446446,0.05034521
0.46546547,0.05036270
0.46646647,0.05037971
0.46746747,0.05039621
0.46846847,0.05041221
0.46946947,0.05042772
0.47047047,0.05044273
0.47147147,0.05045724
0.47247247,0.05047125
0.47347347,0.05048476
0.47447447,0.05049777
0.47547548,0.05051028
0.47647648,0.05052229
0.47747748,0.05053381
0.47847848,0.05054482
0.47947948,0.05055533
0.48048048,0.05056535
0.48148148,0.05057486
0.48248248,0.05058387
0.48348348,0.05059239
0.48448448,0.05060040
0.48548549,0.05060791
0.48648649,0.05061492
0.48748749,0.05062144
0.48848849,0.05062745
0.48948949,0.05063296
0.49049049,0.05063796
0.49149149,0.05064247
0.49249249,0.05064648
0.49349349,0.05064999
0.49449449,0.05065299
0.49549550,0.05065550
0.49649650,0.05065750
0.49749750,0.05065901
0.49849850,0.05066001
0.49949950,0.05066051
0.50050050,0.05066051
0.50150150,0.05066001
0.50250250,0.05065901
0.50350350,0.05065750
0.50450450,0.05065550
0.50550551,0.05065299
0.50650651,0.05064999
0.50750751,0.05064648
0.50850851,0.05064247
0.50950951,0.05063796
0.51051051,0.05063296
0.51151151,0.05062745
0.51251251,0.05062144
0.51351351,0.05061492
0.51451451,0.05060791
0.51551552,0.05060040
0.51651652,0.05059239
0.51751752,0.05058387
0.51851852,0.05057486
0.51951952,0.05056535
0.52052052,0.05055533
0.52152152,0.05054482
0.52252252,0.05053381
0.52352352,0.05052229
0.52452452,0.05051028
0.52552553,0.05049777
0.52652653,0.05048476
0.52752753,0.05047125
