x,u
0.00000000,0.06271700
0.02040816,0.05510823
0.04081633,0.04795034
0.06122449,0.04130470
0.08163265,0.03521593
0.10204082,0.02971128
0.12244898,0.02480090
0.14285714,0.02047904
0.16326531,0.01672595
0.18367347,0.01351025
0.20408163,0.01079169
0.22448980,0.00852396
0.24489796,0.00665731
0.26530612,0.00514104
0.28571429,0.00392548
0.30612245,0.00296366
0.32653061,0.00221242
0.34693878,0.00163316
0.36734694,0.00119215
0.38775510,0.00086060
0.40816327,0.00061443
0.42857143,0.00043389
0.44897959,0.00030308
0.46938776,0.00020944
0.48979592,0.00014319
0.51020408,0.00009687
0.53061224,0.00006486
0.55102041,0.00004297
0.57142857,0.00002819
0.59183673,0.00001830
0.61224490,0.00001177
0.63265306,0.00000749
0.65306122,0.00000472
0.67346939,0.00000295
0.69387755,0.00000183
0.71428571,0.00000112
0.73469388,0.00000068
0.75510204,0.00000041
0.77551020,0.00000024
0.79591837,0.00000014
0.81632653,0.00000008
0.83673469,0.00000005
0.85714286,0.00000003
0.87755102,0.00000002
0.89795918,0.00000001
0.91836735,0.00000001
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
