x,u
0.00000000,0.05851047
0.02040816,0.05004322
0.04081633,0.04222201
0.06122449,0.03512747
0.08163265,0.02880881
0.10204082,0.02328382
0.12244898,0.01854118
0.14285714,0.01454458
0.16326531,0.01123812
0.18367347,0.00855231
0.20408163,0.00641001
0.22448980,0.00473177
0.24489796,0.00344033
0.26530612,0.00246391
0.28571429,0.00173839
0.30612245,0.00120844
0.32653061,0.00082781
0.34693878,0.00055891
0.36734694,0.00037200
0.38775510,0.00024414
0.40816327,0.00015802
0.42857143,0.00010089
0.44897959,0.00006356
0.46938776,0.00003952
0.48979592,0.00002426
0.51020408,0.00001471
0.53061224,0.00000880
0.55102041,0.00000521
0.57142857,0.00000304
0.59183673,0.00000176
0.61224490,0.00000100
0.63265306,0.00000057
0.65306122,0.00000032
0.67346939,0.00000018
0.69387755,0.00000010
0.71428571,0.00000005
0.73469388,0.00000003
0.75510204,0.00000001
0.77551020,0.00000001
0.79591837,0.00000000
0.81632653,0.00000000
0.83673469,0.00000000
0.85714286,0.00000000
0.87755102,0.00000000
0.89795918,0.00000000
0.91836735,0.00000000
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
