x,u
0.00000000,0.06578180
0.02040816,0.05879849
0.04081633,0.05215577
0.06122449,0.04590220
0.08163265,0.04007609
0.10204082,0.03470482
0.12244898,0.02980472
0.14285714,0.02538141
0.16326531,0.02143049
0.18367347,0.01793868
0.20408163,0.01488515
0.22448980,0.01224298
0.24489796,0.00998081
0.26530612,0.00806430
0.28571429,0.00645761
0.30612245,0.00512471
0.32653061,0.00403041
0.34693878,0.00314130
0.36734694,0.00242631
0.38775510,0.00185723
0.40816327,0.00140887
0.42857143,0.00105919
0.44897959,0.00078920
0.46938776,0.00058281
0.48979592,0.00042659
0.51020408,0.00030949
0.53061224,0.00022258
0.55102041,0.00015868
0.57142857,0.00011215
0.59183673,0.00007858
0.61224490,0.00005459
0.63265306,0.00003761
0.65306122,0.00002569
0.67346939,0.00001741
0.69387755,0.00001170
0.71428571,0.00000779
0.73469388,0.00000515
0.75510204,0.00000338
0.77551020,0.00000220
0.79591837,0.00000142
0.81632653,0.00000091
0.83673469,0.00000058
0.85714286,0.00000036
0.87755102,0.00000023
0.89795918,0.00000014
0.91836735,0.00000009
0.93877551,0.00000005
0.95918367,0.00000003
0.97959184,0.00000001
1.00000000,0.00000000
