x,u
0.00000000,0.05568986
0.02040816,0.04664697
0.04081633,0.03841604
0.06122449,0.03109062
0.08163265,0.02471729
0.10204082,0.01929720
0.12244898,0.01479162
0.14285714,0.01113036
0.16326531,0.00822152
0.18367347,0.00596149
0.20408163,0.00424380
0.22448980,0.00296631
0.24489796,0.00203622
0.26530612,0.00137304
0.28571429,0.00090973
0.30612245,0.00059244
0.32653061,0.00037933
0.34693878,0.00023889
0.36734694,0.00014802
0.38775510,0.00009028
0.40816327,0.00005422
0.42857143,0.00003207
0.44897959,0.00001869
0.46938776,0.00001074
0.48979592,0.00000609
0.51020408,0.00000340
0.53061224,0.00000188
0.55102041,0.00000102
0.57142857,0.00000055
0.59183673,0.00000029
0.61224490,0.00000015
0.63265306,0.00000008
0.65306122,0.00000004
0.67346939,0.00000002
0.69387755,0.00000001
0.71428571,0.00000001
0.73469388,0.00000000
0.75510204,0.00000000
0.77551020,0.00000000
0.79591837,0.00000000
0.81632653,0.00000000
0.83673469,0.00000000
0.85714286,0.00000000
0.87755102,0.00000000
0.89795918,0.00000000
0.91836735,0.00000000
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
