x,u
0.00000000,0.06703873
0.02040816,0.06031194
0.04081633,0.05388703
0.06122449,0.04780775
0.08163265,0.04210952
0.10204082,0.03681885
0.12244898,0.03195309
0.14285714,0.02752060
0.16326531,0.02352124
0.18367347,0.01994705
0.20408163,0.01678331
0.22448980,0.01400957
0.24489796,0.01160094
0.26530612,0.00952925
0.28571429,0.00776430
0.30612245,0.00627492
0.32653061,0.00502995
0.34693878,0.00399908
0.36734694,0.00315349
0.38775510,0.00246635
0.40816327,0.00191316
0.42857143,0.00147192
0.44897959,0.00112320
0.46938776,0.00085012
0.48979592,0.00063821
0.51020408,0.00047524
0.53061224,0.00035104
0.55102041,0.00025721
0.57142857,0.00018696
0.59183673,0.00013482
0.61224490,0.00009645
0.63265306,0.00006846
0.65306122,0.00004821
0.67346939,0.00003369
0.69387755,0.00002336
0.71428571,0.00001608
0.73469388,0.00001098
0.75510204,0.00000744
0.77551020,0.00000501
0.79591837,0.00000334
0.81632653,0.00000222
0.83673469,0.00000146
0.85714286,0.00000095
0.87755102,0.00000062
0.89795918,0.00000040
0.91836735,0.00000025
0.93877551,0.00000015
0.95918367,0.00000009
0.97959184,0.00000004
1.00000000,0.00000000
