x,y,u
0.17241379,0.17241379,0.03416580
0.17241379,0.20689655,0.03929614
0.17241379,0.24137931,0.04382443
0.17241379,0.27586207,0.04776453
0.17241379,0.31034483,0.05112821
0.17241379,0.34482759,0.05392395
0.17241379,0.37931034,0.05615712
0.17241379,0.41379310,0.05783072
0.17241379,0.44827586,0.05894617
0.17241379,0.48275862,0.05950400
0.17241379,0.51724138,0.05950436
0.17241379,0.55172414,0.05894724
0.17241379,0.58620690,0.05783247
0.17241379,0.62068966,0.05615948
0.17241379,0.65517241,0.05392683
0.17241379,0.68965517,0.05113151
0.17241379,0.72413793,0.04776812
0.17241379,0.75862069,0.04382816
0.17241379,0.79310345,0.03929986
0.17241379,0.82758621,0.03416935
0.17241379,0.86206897,0.02842498
0.17241379,0.89655172,0.02206757
0.17241379,0.93103448,0.01513025
0.17241379,0.96551724,0.00770974
0.17241379,1.00000000,0.00000000
0.20689655,0.00000000,0.00000000
0.20689655,0.03448276,0.00745592
0.20689655,0.06896552,0.01471064
0.20689655,0.10344828,0.02160538
0.20689655,0.13793103,0.02803489
0.20689655,0.17241379,0.03393776
0.20689655,0.20689655,0.03928144
0.20689655,0.24137931,0.04404968
0.20689655,0.27586207,0.04823427
0.20689655,0.31034483,0.05183041
0.20689655,0.34482759,0.05483442
0.20689655,0.37931034,0.05724295
0.20689655,0.41379310,0.05905282
0.20689655,0.44827586,0.06026126
0.20689655,0.48275862,0.06086623
0.20689655,0.51724138,0.06086663
0.20689655,0.55172414,0.06026243
0.20689655,0.58620690,0.05905472
0.20689655,0.62068966,0.05724552
0.20689655,0.65517241,0.05483756
0.20689655,0.68965517,0.05183400
0.20689655,0.72413793,0.04823818
0.20689655,0.75862069,0.04405375
0.20689655,0.79310345,0.03928550
0.20689655,0.82758621,0.03394163
0.20689655,0.86206897,0.02803837
0.20689655,0.89655172,0.02160828
0.20689655,0.93103448,0.01471276
0.20689655,0.96551724,0.00745707
0.20689655,1.00000000,0.00000000
0.24137931,0.00000000,0.00000000
0.24137931,0.03448276,0.00732683
0.24137931,0.06896552,0.01449874
0.24137931,0.10344828,0.02138195
0.24137931,0.13793103,0.02787328
0.24137931,0.17241379,0.03389890
0.24137931,0.20689655,0.03940782
0.24137931,0.24137931,0.04436494
0.24137931,0.27586207,0.04874537
0.24137931,0.31034483,0.05253058
0.24137931,0.34482759,0.05570614
0.24137931,0.37931034,0.05826054
0.24137931,0.41379310,0.06018459
0.24137931,0.44827586,0.06147136
0.24137931,0.48275862,0.06211615
0.24137931,0.51724138,0.06211658
0.24137931,0.55172414,0.06147262
0.24137931,0.58620690,0.06018663
0.24137931,0.62068966,0.05826329
0.24137931,0.65517241,0.05570951
0.24137931,0.68965517,0.05253443
0.24137931,0.72413793,0.04874956
0.24137931,0.75862069,0.04436931
0.24137931,0.79310345,0.03941217
0.24137931,0.82758621,0.03390304
0.24137931,0.86206897,0.02787702
0.24137931,0.89655172,0.02138506
0.24137931,0.93103448,0.01450102
0.24137931,0.96551724,0.00732806
0.24137931,1.00000000,0.00000000
0.27586207,0.00000000,0.00000000
0.27586207,0.03448276,0.00726454
0.27586207,0.06896552,0.01440027
0.27586207,0.10344828,0.02128997
0.27586207,0.13793103,0.02783492
0.27586207,0.17241379,0.03395617
0.27586207,0.20689655,0.03959231
0.27586207,0.24137931,0.04469588
0.27586207,0.27586207,0.04922989
0.27586207,0.31034483,0.05316511
0.27586207,0.34482759,0.05647819
0.27586207,0.37931034,0.05915050
0.27586207,0.41379310,0.06116746
0.27586207,0.44827586,0.06251825
0.27586207,0.48275862,0.06319567
0.27586207,0.51724138,0.06319612
0.27586207,0.55172414,0.06251957
0.27586207,0.58620690,0.06116961
0.27586207,0.62068966,0.05915341
0.27586207,0.65517241,0.05648175
0.27586207,0.68965517,0.05316918
0.27586207,0.72413793,0.04923432
0.27586207,0.75862069,0.04470050
0.27586207,0.79310345,0.03959692
0.27586207,0.82758621,0.03396055
0.27586207,0.86206897,0.02783886
0.27586207,0.89655172,0.02129326
0.27586207,0.93103448,0.01440268
0.27586207,0.96551724,0.00726585
0.27586207,1.00000000,0.00000000
0.31034483,0.00000000,0.00000000
0.31034483,0.03448276,0.00723339
0.31034483,0.06896552,0.01435353
0.31034483,0.10344828,0.02125410
0.31034483,0.13793103,0.02784062
0.31034483,0.17241379,0.03403240
0.31034483,0.20689655,0.03976218
0.31034483,0.24137931,0.04497453
0.31034483,0.27586207,0.04962400
0.31034483,0.31034483,0.05367330
0.31034483,0.34482759,0.05709203
0.31034483,0.37931034,0.05985569
0.31034483,0.41379310,0.06194509
0.31034483,0.44827586,0.06334602
0.31034483,0.48275862,0.06404907
0.31034483,0.51724138,0.06404953
0.31034483,0.55172414,0.06334740
0.31034483,0.58620690,0.06194733
0.31034483,0.62068966,0.05985872
0.31034483,0.65517241,0.05709574
0.31034483,0.68965517,0.05367755
0.31034483,0.72413793,0.04962862
0.31034483,0.75862069,0.04497935
0.31034483,0.79310345,0.03976698
0.31034483,0.82758621,0.03403698
0.31034483,0.86206897,0.02784474
0.31034483,0.89655172,0.02125753
0.31034483,0.93103448,0.01435604
0.31034483,0.96551724,0.00723475
0.31034483,1.00000000,0.00000000
0.34482759,0.00000000,0.00000000
0.34482759,0.03448276,0.00720941
0.34482759,0.06896552,0.01431534
0.34482759,0.10344828,0.02121876
0.34482759,0.13793103,0.02782876
0.34482759,0.17241379,0.03406437
0.34482759,0.20689655,0.03985516
0.34482759,0.24137931,0.04514070
0.34482759,0.27586207,0.04986972
0.34482759,0.31034483,0.05399914
0.34482759,0.34482759,0.05749317
0.34482759,0.37931034,0.06032269
0.34482759,0.41379310,0.06246476
0.34482759,0.44827586,0.06390237
0.34482759,0.48275862,0.06462423
0.34482759,0.51724138,0.06462471
0.34482759,0.55172414,0.06390379
0.34482759,0.58620690,0.06246708
0.34482759,0.62068966,0.06032582
0.34482759,0.65517241,0.05749700
0.34482759,0.68965517,0.05400353
0.34482759,0.72413793,0.04987449
0.34482759,0.75862069,0.04514566
0.34482759,0.79310345,0.03986011
0.34482759,0.82758621,0.03406909
0.34482759,0.86206897,0.02783300
0.34482759,0.89655172,0.02122230
0.34482759,0.93103448,0.01431792
0.34482759,0.96551724,0.00721082
0.34482759,1.00000000,0.00000000
0.37931034,0.00000000,0.00000000
0.37931034,0.03448276,0.00717567
0.37931034,0.06896552,0.01425436
0.37931034,0.10344828,0.02114219
0.37931034,0.13793103,0.02775112
0.37931034,0.17241379,0.03400071
0.37931034,0.20689655,0.03981893
0.37931034,0.24137931,0.04514238
0.37931034,0.27586207,0.04991597
0.37931034,0.31034483,0.05409257
0.37931034,0.34482759,0.05763247
0.37931034,0.37931034,0.06050308
0.37931034,0.41379310,0.06267857
0.37931034,0.44827586,0.06413970
0.37931034,0.48275862,0.06487370
0.37931034,0.51724138,0.06487420
0.37931034,0.55172414,0.06414116
0.37931034,0.58620690,0.06268094
0.37931034,0.62068966,0.06050628
0.37931034,0.65517241,0.05763638
0.37931034,0.68965517,0.05409704
0.37931034,0.72413793,0.04992084
0.37931034,0.75862069,0.04514745
0.37931034,0.79310345,0.03982399
0.37931034,0.82758621,0.03400552
0.37931034,0.86206897,0.02775546
0.37931034,0.89655172,0.02114580
0.37931034,0.93103448,0.01425700
0.37931034,0.96551724,0.00717710
0.37931034,1.00000000,0.00000000
0.41379310,0.00000000,0.00000000
0.41379310,0.03448276,0.00711982
0.41379310,0.06896552,0.01414735
0.41379310,0.10344828,0.02099258
0.41379310,0.13793103,0.02757000
0.41379310,0.17241379,0.03380009
0.41379310,0.20689655,0.03961035
0.41379310,0.24137931,0.04493577
0.41379310,0.27586207,0.04971897
0.41379310,0.31034483,0.05391015
0.41379310,0.34482759,0.05746697
0.41379310,0.37931034,0.06035434
0.41379310,0.41379310,0.06254435
0.41379310,0.44827586,0.06401609
0.41379310,0.48275862,0.06475569
0.41379310,0.51724138,0.06475619
0.41379310,0.55172414,0.06401756
0.41379310,0.58620690,0.06254674
0.41379310,0.62068966,0.06035757
0.41379310,0.65517241,0.05747092
0.41379310,0.68965517,0.05391467
0.41379310,0.72413793,0.04972388
0.41379310,0.75862069,0.04494089
0.41379310,0.79310345,0.03961545
0.41379310,0.82758621,0.03380495
0.41379310,0.86206897,0.02757438
0.41379310,0.89655172,0.02099623
0.41379310,0.93103448,0.01415002
0.41379310,0.96551724,0.00712127
0.41379310,1.00000000,0.00000000
0.44827586,0.00000000,0.00000000
0.44827586,0.03448276,0.00703273
0.44827586,0.06896552,0.01397690
0.44827586,0.10344828,0.02074575
0.44827586,0.13793103,0.02725611
0.44827586,0.17241379,0.03342979
0.44827586,0.20689655,0.03919459
0.44827586,0.24137931,0.04448496
0.44827586,0.27586207,0.04924238
0.44827586,0.31034483,0.05341556
0.44827586,0.34482759,0.05696050
0.44827586,0.37931034,0.05984055
0.44827586,0.41379310,0.06202638
0.44827586,0.44827586,0.06349600
0.44827586,0.48275862,0.06423473
0.44827586,0.51724138,0.06423523
0.44827586,0.55172414,0.06349747
0.44827586,0.58620690,0.06202878
0.44827586,0.62068966,0.05984378
0.44827586,0.65517241,0.05696445
0.44827586,0.68965517,0.05342008
0.44827586,0.72413793,0.04924730
0.44827586,0.75862069,0.04449008
0.44827586,0.79310345,0.03919970
0.44827586,0.82758621,0.03343465
0.44827586,0.86206897,0.02726049
0.44827586,0.89655172,0.02074940
0.44827586,0.93103448,0.01397957
0.44827586,0.96551724,0.00703418
0.44827586,1.00000000,0.00000000
0.48275862,0.00000000,0.00000000
0.48275862,0.03448276,0.00690767
0.48275862,0.06896552,0.01373011
0.48275862,0.10344828,0.02038353
0.48275862,0.13793103,0.02678719
0.48275862,0.17241379,0.03286459
0.48275862,0.20689655,0.03854449
0.48275862,0.24137931,0.04376166
0.48275862,0.27586207,0.04845736
0.48275862,0.31034483,0.05257974
0.48275862,0.34482759,0.05608406
0.48275862,0.37931034,0.05893283
0.48275862,0.41379310,0.06109597
0.48275862,0.44827586,0.06255084
0.48275862,0.48275862,0.06328231
0.48275862,0.51724138,0.06328280
0.48275862,0.55172414,0.06255230
0.48275862,0.58620690,0.06109834
0.48275862,0.62068966,0.05893603
0.48275862,0.65517241,0.05608797
0.48275862,0.68965517,0.05258422
0.48275862,0.72413793,0.04846223
0.48275862,0.75862069,0.04376673
0.48275862,0.79310345,0.03854955
0.48275862,0.82758621,0.03286941
0.48275862,0.86206897,0.02679153
0.48275862,0.89655172,0.02038714
0.48275862,0.93103448,0.01373275
0.48275862,0.96551724,0.00690911
0.48275862,1.00000000,0.00000000
0.51724138,0.00000000,0.00000000
0.51724138,0.03448276,0.00673981
0.51724138,0.06896552,0.01339764
0.51724138,0.10344828,0.01989273
0.51724138,0.13793103,0.02614695
0.51724138,0.17241379,0.03208590
0.51724138,0.20689655,0.03763992
0.51724138,0.24137931,0.04274478
0.51724138,0.27586207,0.04734234
0.51724138,0.31034483,0.05138098
0.51724138,0.34482759,0.05481596
0.51724138,0.37931034,0.05760964
0.51724138,0.41379310,0.05973172
0.51724138,0.44827586,0.06115936
0.51724138,0.48275862,0.06187725
0.51724138,0.51724138,0.06187773
0.51724138,0.55172414,0.06116079
0.51724138,0.58620690,0.05973405
0.51724138,0.62068966,0.05761277
0.51724138,0.65517241,0.05481979
0.51724138,0.68965517,0.05138537
0.51724138,0.72413793,0.04734712
0.51724138,0.75862069,0.04274976
0.51724138,0.79310345,0.03764489
0.51724138,0.82758621,0.03209063
0.51724138,0.86206897,0.02615120
0.51724138,0.89655172,0.01989627
0.51724138,0.93103448,0.01340023
0.51724138,0.96551724,0.00674122
0.51724138,1.00000000,0.00000000
0.55172414,0.00000000,0.00000000
0.55172414,0.03448276,0.00652591
0.55172414,0.06896552,0.01297322
0.55172414,0.10344828,0.01926444
0.55172414,0.13793103,0.02532437
0.55172414,0.17241379,0.03108117
0.55172414,0.20689655,0.03646726
0.55172414,0.24137931,0.04142013
0.55172414,0.27586207,0.04588288
0.55172414,0.31034483,0.04980484
0.55172414,0.34482759,0.05314191
0.55172414,0.37931034,0.05585689
0.55172414,0.41379310,0.05791977
0.55172414,0.44827586,0.05930785
0.55172414,0.48275862,0.06000594
0.55172414,0.51724138,0.06000641
0.55172414,0.55172414,0.05930924
0.55172414,0.58620690,0.05792202
0.55172414,0.62068966,0.05585994
0.55172414,0.65517241,0.05314563
0.55172414,0.68965517,0.04980911
0.55172414,0.72413793,0.04588752
0.55172414,0.75862069,0.04142496
0.55172414,0.79310345,0.03647208
0.55172414,0.82758621,0.03108575
0.55172414,0.86206897,0.02532850
0.55172414,0.89655172,0.01926788
0.55172414,0.93103448,0.01297574
0.55172414,0.96551724,0.00652727
0.55172414,1.00000000,0.00000000
0.58620690,0.00000000,0.00000000
0.58620690,0.03448276,0.00626404
0.58620690,0.06896552,0.01245319
0.58620690,0.10344828,0.01849350
0.58620690,0.13793103,0.02431313
0.58620690,0.17241379,0.02984326
0.58620690,0.20689655,0.03501898
0.58620690,0.24137931,0.03978003
0.58620690,0.27586207,0.04407142
0.58620690,0.31034483,0.04784401
0.58620690,0.34482759,0.05105494
0.58620690,0.37931034,0.05366797
0.58620690,0.41379310,0.05565380
0.58620690,0.44827586,0.05699024
0.58620690,0.48275862,0.05766242
0.58620690,0.51724138,0.05766287
0.58620690,0.55172414,0.05699157
0.58620690,0.58620690,0.05565597
